Gene	Patient06_BM	Patient06_CNS	Patient07_BM	Patient07_CNS	Patient08_BM	Patient08_CNS
GRAMD3	0	0	0	0	0	0
ALDH7A1	66	12	41	21	38	27
PHAX	362	105	202	211	181	284
TEX43	0	0	0	1	0	2
LMNB1	202	7	34	65	24	162
MARCH3	6	8	5	10	5	11
C5orf63	22	13	36	7	39	6
MEGF10	17	1	10	3	9	4
PRRC1	326	124	381	103	392	95
LINC01184	0	0	1	0	1	0
SLC12A2	22	15	22	15	22	15
FBN2	7	12	7	10	7	10
ISOC1	16	1	5	5	4	9
CHSY3	1	1	1	0	1	0
HINT1	344	168	448	122	471	107
LYRM7	481	85	225	212	195	312
CDC42SE2	3039	1318	2880	1406	2851	1445
RAPGEF6	1676	3012	2159	2223	2266	1954
FNIP1	720	1340	1139	772	1243	611
MEIKIN	0	0	0	0	0	0
ACSL6	22	25	75	5	95	2
P4HA2-AS1	3	0	0	0	0	1
P4HA2	0	0	0	0	0	2
PDLIM4	0	3	0	0	0	0
SLC22A4	5	1	2	3	2	4
LOC553103	46	22	16	74	13	123
SLC22A5	2	15	4	6	5	4
C5orf56	25	5	8	20	6	36
IRF1	585	1343	704	1075	729	978
IL5	1	0	0	0	0	0
RAD50	598	566	551	625	542	652
TH2LCRR	0	1	0	0	0	0
IL13	0	0	0	1	0	2
KIF3A	16	7	6	22	5	36
CCNI2	1	1	1	0	1	0
SEPT8	28	20	36	15	37	13
SHROOM1	25	128	49	58	56	41
GDF9	0	0	0	1	0	2
UQCRQ	26	9	38	5	41	4
LEAP2	5	3	2	11	1	17
AFF4	479	351	417	414	406	444
ZCCHC10	697	347	696	348	696	348
HSPA4	1359	471	997	683	940	799
FSTL4	2	11	4	5	4	4
WSPAR	0	0	0	0	0	1
C5orf15	1291	393	1407	354	1430	339
VDAC1	830	320	510	573	465	734
TCF7	191	1177	487	383	582	238
SKP1	159	124	266	66	293	51
PPP2CA	1976	1222	1430	1800	1345	2122
CDKL3	1	1	1	1	1	1
UBE2B	55	45	128	16	150	10
CDKN2AIPNL	19	12	21	11	21	11
LOC102546229	2	3	5	1	6	0
JADE2	31	30	45	19	48	16
SAR1B	229	267	422	128	474	94
SEC24A	606	506	615	498	617	494
CAMLG	39	53	42	49	43	47
DDX46	2144	1082	2021	1162	1998	1197
C5orf24	138	318	364	100	437	61
TXNDC15	145	115	112	156	107	178
PCBD2	76	72	59	98	56	112
MIR4461	3	3	3	2	3	2
CATSPER3	0	0	0	0	0	1
C5orf66	16	11	4	47	3	86
H2AFY	897	494	675	694	640	802
DCANP1	94	99	14	931	9	2405
TIFAB	0	0	0	2	0	3
TGFBI	12	96	13	85	13	81
VTRNA2-1	1	1	1	0	1	0
SMAD5-AS1	1	1	3	0	3	0
SMAD5	48	64	63	47	66	41
SPOCK1	0	0	0	0	0	0
KLHL3	3	7	7	3	8	1
HNRNPA0	64	58	77	47	80	43
NPY6R	0	0	0	0	0	0
MYOT	0	0	0	0	0	0
PKD2L2	0	0	0	0	0	0
FAM13B	430	229	258	422	234	547
WNT8A	0	3	0	0	1	0
NME5	0	0	0	0	0	0
BRD8	384	883	735	406	831	291
KIF20A	31	1	10	5	8	9
CDC23	116	126	103	144	101	153
GFRA3	0	0	0	0	0	0
CDC25C	9	0	4	0	4	0
FAM53C	14	11	8	20	8	25
KDM3B	1382	836	1710	648	1780	581
REEP2	1	0	0	0	0	0
EGR1	4997	445	1145	2610	864	5531
ETF1	826	207	339	604	286	950
HSPA9	557	358	514	394	507	410
SNORD63	3	0	1	1	1	2
CTNNA1	633	765	627	773	626	776
LRRTM2	5	8	1	27	1	44
SIL1	168	202	158	217	156	224
MATR3	2409	977	1878	1317	1791	1495
SNHG4	0	0	0	0	0	0
PAIP2	658	347	1014	207	1101	166
SLC23A1	105	176	234	67	273	44
MZB1	4082	7700	4332	7169	4382	6954
PROB1	7	1	4	3	3	4
SPATA24	7	4	10	3	10	2
DNAJC18	5	11	7	8	8	7
TMEM173	1352	1008	1485	901	1512	859
UBE2D2	1215	1566	1004	1968	968	2169
CXXC5	93	5	49	12	43	17
LOC101929696	0	0	0	0	0	0
PSD2	0	0	0	0	0	0
NRG2	0	0	0	0	0	0
LINC01024	1	0	0	1	0	1
PURA	129	114	79	205	72	263
IGIP	6	13	4	24	3	31
CYSTM1	45	48	78	25	86	18
PFDN1	500	210	469	227	463	235
HBEGF	59	5	6	86	3	263
SLC4A9	1	0	0	1	0	3
ANKHD1-EIF4EBP3	2	0	1	1	1	1
ANKHD1	1	2	2	1	2	1
EIF4EBP3	0	0	0	2	0	3
SRA1	73	179	103	119	110	100
APBB3	32	32	24	46	23	53
SLC35A4	1922	1212	2874	747	3104	609
CD14	1	9	3	3	3	2
TMCO6	0	1	0	0	0	0
NDUFA2	55	34	101	16	114	12
IK	2782	1478	3308	1200	3419	1099
WDR55	9	5	5	10	4	12
DND1	0	1	0	2	0	2
HARS	271	208	167	372	152	476
HARS2	284	387	347	304	360	275
ZMAT2	30	17	73	5	87	3
VTRNA1-1	1	0	0	0	0	1
VTRNA1-3	1	0	0	0	0	0
PCDHA1	0	0	0	0	0	0
PCDHA5	1	1	1	0	1	0
PCDHA8	1	1	1	0	1	0
PCDHA9	1	1	1	0	1	0
PCDHA13	1	1	1	0	1	0
PCDHB2	0	0	0	0	0	1
PCDHB4	1	1	1	1	1	1
PCDHB17P	1	1	1	0	1	0
PCDHB7	0	0	0	0	0	0
PCDHB8	1	0	1	0	1	0
PCDHB16	0	0	0	0	0	1
PCDHB9	4	1	0	7	0	14
PCDHB10	1	0	0	2	0	5
PCDHB11	0	0	0	1	0	2
PCDHB12	2	1	1	3	1	4
PCDHB13	5	0	4	0	3	1
PCDHB14	0	0	0	0	0	0
PCDHB18P	1	1	1	0	1	0
PCDHB19P	0	0	0	0	0	0
PCDHB15	0	1	0	7	0	15
SLC25A2	0	0	0	0	0	0
TAF7	2952	758	1845	1331	1687	1691
PCDHGA1	6	0	3	2	2	4
PCDHGA2	11	1	2	11	1	23
PCDHGA3	0	0	0	1	0	2
PCDHGB1	0	0	0	0	0	1
PCDHGA4	20	67	5	320	4	620
PCDHGB2	1	6	3	2	4	1
PCDHGA5	0	0	0	0	0	0
PCDHGB3	1	0	0	0	0	1
PCDHGA6	3	3	3	4	3	4
PCDHGA7	1	8	0	12	0	14
PCDHGB4	0	0	0	0	0	0
PCDHGA8	0	0	0	0	0	0
PCDHGB5	0	5	2	1	3	0
PCDHGA9	0	0	0	0	0	0
PCDHGB6	0	2	0	0	1	0
PCDHGA10	3	4	2	6	2	8
PCDHGB7	4	11	1	27	1	39
PCDHGA11	6	16	5	20	5	22
PCDHGB8P	0	0	0	0	0	0
PCDHGA12	8	1	3	4	3	7
PCDHGC3	22	1	4	14	3	31
PCDHGC4	3	4	9	1	11	0
PCDHGC5	1	0	0	0	0	0
DIAPH1	634	457	470	654	444	761
LOC100505658	1	10	2	6	2	4
HDAC3	21	14	17	19	16	21
RELL2	0	0	0	0	0	0
FCHSD1	83	39	28	144	22	250
ARAP3	0	1	0	1	0	0
PCDH1	0	4	3	0	4	0
KIAA0141	504	1244	601	1008	622	921
PCDH12	1	2	1	2	1	3
RNF14	1369	1502	2012	946	2166	777
GNPDA1	0	13	1	4	1	2
NDFIP1	42	273	53	211	55	189
SPRY4	15	92	14	94	14	95
SPRY4-IT1	6	11	7	8	7	7
FGF1	0	10	0	0	0	0
ARHGAP26	534	488	301	970	270	1299
ARHGAP26-AS1	2	13	3	10	3	9
ARHGAP26-IT1	0	0	0	0	0	0
NR3C1	6583	2571	3821	4935	3445	6512
MIR5197	0	1	0	0	0	0
HMHB1	19	8	24	6	25	5
YIPF5	197	34	111	67	99	90
KCTD16	0	0	0	1	0	2
PRELID2	1	0	0	0	0	0
PLAC8L1	0	0	0	0	0	0
LARS	2021	975	2276	846	2328	796
RBM27	739	287	687	313	678	325
TCERG1	1749	1006	1541	1171	1505	1249
GPR151	0	1	0	0	0	0
PPP2R2B	0	0	0	0	0	0
STK32A	2	0	1	0	1	0
DPYSL3	0	0	0	0	0	0
JAKMIP2-AS1	0	0	0	0	0	1
JAKMIP2	16	39	31	18	35	13
LOC102546294	0	0	0	1	0	1
FBXO38	509	544	504	550	504	552
ADRB2	0	0	0	2	0	4
SH3TC2	0	1	0	1	0	1
AFAP1L1	0	0	0	3	0	5
GRPEL2	5	7	12	2	14	1
PCYOX1L	39	42	30	59	28	68
IL17B	0	0	0	1	0	2
MIR145	0	0	0	0	0	1
CSNK1A1	1098	531	733	861	679	1057
ARHGEF37	4	1	4	1	4	1
PPARGC1B	171	143	166	148	166	150
MIR378A	0	0	0	0	0	1
PDE6A	0	1	0	2	0	2
SLC26A2	42	16	36	19	35	21
TIGD6	13	21	14	18	15	17
HMGXB3	129	148	109	181	106	198
CSF1R	147	155	105	232	98	276
PDGFRB	0	0	0	0	0	0
TCOF1	743	458	455	825	414	1060
CD74	57891	38408	63793	34187	64985	32537
RPS14	2194	1562	3366	935	3652	751
NDST1	169	800	213	607	223	540
SYNPO	6	0	5	0	4	0
MYOZ3	0	0	0	1	0	2
RBM22	634	350	512	453	491	506
DCTN4	1246	1050	1113	1202	1090	1272
SMIM3	58	19	45	26	42	30
IRGM	0	1	0	1	0	1
ZNF300	3	12	3	14	3	15
ZNF300P1	0	3	0	0	0	0
GPX3	26	5	6	32	4	64
TNIP1	225	318	284	241	297	214
ANXA6	738	1146	921	879	961	785
CCDC69	183	120	144	161	137	182
GM2A	185	144	193	138	194	135
SLC36A3	0	0	0	0	0	1
SLC36A2	1	1	2	1	2	0
SLC36A1	0	1	3	0	4	0
FAT2	5	2	9	1	11	0
SPARC	2	0	0	0	0	1
CTB-113P19.1	0	0	0	0	0	0
ATOX1	11	12	26	4	31	2
LOC100652758	2	0	0	1	0	4
G3BP1	388	139	271	213	253	256
GLRA1	0	3	0	0	0	0
GRIA1	1	1	1	0	1	0
FAM114A2	328	268	302	297	297	310
MFAP3	466	168	384	211	370	233
GALNT10	117	356	243	149	278	103
MIR1294	0	0	0	0	0	1
SAP30L-AS1	2	50	16	4	23	1
SAP30L	70	87	70	88	70	88
MIR1303	0	0	0	0	0	1
LARP1	2541	1732	3758	1083	4049	887
FAXDC2	13	74	28	31	33	21
MIR378H	1	1	2	0	2	0
CNOT8	204	86	170	108	164	119
GEMIN5	183	158	193	149	195	145
MRPL22	42	23	78	11	87	8
KIF4B	0	0	0	0	0	0
TIMD4	0	0	0	0	0	0
HAVCR2	0	0	0	0	0	0
MED7	5	2	5	2	5	2
ITK	1	21	4	6	5	4
CYFIP2	4099	1874	2100	4179	1848	5876
FNDC9	0	6	0	4	0	4
NIPAL4	0	0	0	1	0	1
ADAM19	75	30	25	114	20	199
SOX30	0	0	0	0	0	0
THG1L	0	0	0	0	0	0
LSM11	3	4	4	2	4	2
CLINT1	1106	790	856	1075	815	1225
LOC101927697	76	242	151	107	172	76
EBF1	2995	2009	3175	1873	3210	1818
LOC101927740	2	0	1	0	0	0
RNF145	125	216	95	302	90	348
UBLCP1	56	16	38	26	36	32
LOC285626	0	1	0	0	0	0
LOC285627	0	0	0	0	0	0
TTC1	430	142	468	129	475	123
PWWP2A	120	109	77	185	71	231
CCNJL	0	0	0	0	0	0
ZBED8	2	0	0	2	0	3
SLU7	65	68	122	32	137	23
PTTG1	58	8	90	4	98	3
MIR3142	0	0	0	0	0	0
MIR146A	0	0	0	0	0	0
ATP10B	2	11	4	7	4	5
GABRB2	4	6	9	2	10	1
CCNG1	215	97	203	104	201	107
NUDCD2	659	125	285	341	243	522
HMMR	4	0	2	0	2	0
MAT2B	59	33	94	19	103	15
LOC101927835	0	5	0	0	0	0
LOC102546299	0	0	0	0	0	0
TENM2	1	1	1	0	1	0
WWC1	0	1	0	0	0	0
RARS	402	558	924	206	1083	134
PANK3	15	17	28	8	32	5
SLIT3	6	1	3	3	2	4
SPDL1	22	6	37	3	40	2
DOCK2	1339	1083	882	1787	814	2211
FAM196B	70	234	113	131	124	102
MIR378E	0	1	0	0	0	0
FOXI1	0	0	0	1	0	2
C5orf58	0	0	0	0	0	0
LCP2	536	1429	751	954	801	804
LINC01366	3	5	4	4	4	3
KCNMB1	1	3	3	1	3	1
GABRP	1	1	1	0	1	0
RANBP17	2	3	5	1	6	0
NPM1	4372	1852	5783	1324	6100	1148
FGF18	0	0	0	1	0	2
FBXW11	120	73	48	217	40	344
STK10	1587	1813	1327	2247	1282	2462
EFCAB9	0	2	0	0	0	0
UBTD2	2	1	0	2	0	4
SH3PXD2B	0	0	0	0	0	0
NEURL1B	8	13	35	2	46	0
LOC101928093	1	0	0	0	0	1
DUSP1	4903	802	870	6376	626	15386
ERGIC1	340	165	308	185	303	195
LOC100268168	2	10	2	7	2	6
RPL26L1	40	9	46	8	47	7
ATP6V0E1	1410	784	1650	649	1700	599
SNORA74B	0	0	0	0	0	0
CREBRF	228	147	74	562	60	993
BNIP1	4	0	0	1	0	7
NKX2-5	0	0	0	1	0	2
STC2	2	1	0	6	0	10
LOC285593	1	5	1	4	1	4
BOD1	18	23	20	20	21	19
LINC01484	0	0	0	0	0	0
CPEB4	981	1291	1216	997	1267	894
SFXN1	264	399	340	295	356	260
HRH2	510	193	237	486	205	718
CPLX2	0	2	0	0	0	0
THOC3	12	5	12	5	12	5
FAM153B	0	0	0	0	0	0
LOC100507387	0	0	0	1	0	4
LOC643201	0	0	0	2	0	3
SIMC1	19	7	3	49	2	109
KIAA1191	1553	1576	1377	1820	1346	1935
ARL10	7	10	5	14	5	16
MIR1271	0	0	0	0	0	1
NOP16	570	653	662	546	681	506
HIGD2A	163	65	162	66	161	66
CLTB	1	2	0	4	0	5
FAF2	720	403	559	547	533	622
RNF44	523	416	586	363	599	343
CDHR2	3	0	1	1	1	2
GPRIN1	0	0	0	1	0	2
TSPAN17	11	11	13	9	13	9
UNC5A	2	2	2	1	2	1
HK3	12	45	23	20	26	14
UIMC1	1046	1246	1159	1103	1181	1047
ZNF346	842	1057	1093	772	1149	676
FGFR4	3	0	0	1	0	3
NSD1	653	456	423	769	389	961
RAB24	817	625	509	1102	465	1402
PRELID1	0	0	0	0	0	1
MXD3	421	425	360	514	349	557
LMAN2	59	55	66	48	68	45
RGS14	22	24	8	77	6	125
PFN3	1	1	1	0	1	0
F12	0	1	0	9	0	19
GRK6	350	774	333	822	329	843
PRR7-AS1	29	59	28	60	28	61
PRR7	3	1	0	11	0	23
DBN1	13	14	5	39	4	60
PDLIM7	21	68	16	91	16	103
DOK3	1129	1267	1374	1001	1426	906
DDX41	657	331	475	489	446	577
FAM193B	277	678	148	1434	131	1972
TMED9	156	122	101	206	93	257
B4GALT7	35	60	24	93	23	111
LOC202181	236	248	166	376	156	449
FAM153A	0	0	0	1	0	2
LOC728554	12	3	15	3	15	2
FAM153C	0	3	0	4	0	5
N4BP3	8	80	7	87	7	90
RMND5B	139	159	167	128	173	117
NHP2	711	266	353	615	309	878
GMCL1P1	0	0	0	2	0	4
HNRNPAB	3294	1172	3019	1301	2969	1361
PHYKPL	737	2410	723	2464	721	2487
COL23A1	1	0	0	1	0	3
CLK4	1218	2623	1361	2295	1390	2168
ZNF354A	138	164	97	249	90	298
ZNF354B	33	44	36	40	36	39
ZFP2	0	0	0	0	0	0
ZNF454	1	0	0	0	0	0
GRM6	0	0	0	0	0	0
ZNF879	0	0	0	1	0	2
ZNF354C	29	16	3	183	2	505
ADAMTS2	1	2	2	1	3	0
RUFY1	31	14	9	57	7	101
LOC101928445	2	13	2	13	2	13
HNRNPH1	9015	8477	14881	4647	16373	3599
CBY3	5	9	11	4	12	3
CANX	6416	3391	5597	3994	5453	4282
MAML1	453	368	332	533	313	624
LTC4S	0	0	0	0	0	0
MGAT4B	1	3	0	4	0	4
SQSTM1	320	560	337	525	341	511
C5orf45	0	0	0	0	0	1
TBC1D9B	110	118	50	300	43	445
RNF130	272	179	158	343	142	452
MIR340	0	2	0	0	0	0
MAPK9	321	191	327	187	328	186
CNOT6	101	194	195	88	221	62
SCGB3A1	1	2	3	1	3	0
FLT4	8	2	1	18	1	38
MGAT1	638	898	415	1504	382	1873
HEIH	6	9	6	9	6	9
LINC00847	5	9	8	4	9	3
ZFP62	6	2	0	28	0	71
BTNL8	0	1	0	0	0	0
BTNL9	0	0	0	0	0	0
TRIM7	0	2	1	1	2	0
TRIM41	16	6	12	9	11	11
GNB2L1	4095	2270	3804	2479	3751	2574
SNORD96A	0	0	0	0	0	0
SNORD95	0	0	0	2	0	3
CTC-338M12.4	10	0	6	1	5	2
TRIM52	1	5	2	3	2	3
TRIM52-AS1	20	3	10	8	9	11
LOC285766	1	0	0	0	0	0
DUSP22	44	60	29	99	27	122
IRF4	1041	439	1554	271	1677	221
EXOC2	921	1269	893	1317	888	1338
HUS1B	0	0	0	1	0	2
FOXCUT	1	1	1	0	1	0
FOXC1	31	31	61	14	69	10
GMDS	2	1	1	4	0	6
GMDS-AS1	5	14	6	11	6	11
LINC01600	1	1	2	1	2	0
MYLK4	0	1	0	2	0	2
WRNIP1	63	90	58	99	57	102
SERPINB1	633	410	690	370	701	354
SERPINB9P1	1	2	1	3	1	3
LOC101927730	2	136	12	24	16	11
SERPINB9	1296	12931	2372	6266	2661	4605
SERPINB6	83	1159	145	595	161	448
LINC01011	0	4	1	0	2	0
NQO2	4	38	15	9	19	4
HTATSF1P2	2	17	3	10	3	8
RIPK1	120	123	88	177	83	207
BPHL	59	5	12	37	8	83
TUBB2A	1	4	1	6	1	6
LOC100507194	1	1	1	0	1	0
TUBB2B	1	1	0	2	0	2
PSMG4	38	42	49	31	51	27
SLC22A23	1	3	1	5	1	6
PXDC1	0	0	0	1	0	2
FAM50B	2	2	3	1	3	0
PRPF4B	1639	2849	2061	2165	2153	1927
FAM217A	0	0	0	2	0	3
C6orf201	0	1	0	0	0	0
ECI2	118	169	136	143	140	133
LOC100507506	0	0	0	1	0	2
LOC102724096	3	3	2	5	2	5
KU-MEL-3	0	0	0	0	0	0
CDYL	177	79	66	254	55	416
RPP40	15	4	18	3	19	3
LOC100129461	0	0	1	0	1	0
PPP1R3G	0	0	0	0	0	0
LYRM4	65	119	145	45	168	30
FARS2	5	4	4	6	4	6
LOC101927972	0	0	0	0	0	0
LOC101927950	0	0	0	0	0	0
NRN1	6	0	1	0	1	0
F13A1	4	11	5	7	6	6
MIR5683	0	2	0	0	0	0
LY86-AS1	0	0	0	4	0	8
LY86	834	255	289	907	236	1555
RREB1	749	1006	952	755	996	669
SSR1	3589	2065	3591	2064	3591	2063
CAGE1	1	0	0	1	0	2
RIOK1	891	318	904	313	907	311
DSP	9	35	13	24	13	21
SNRNP48	23	40	29	29	31	26
BMP6	0	65	4	12	6	6
TXNDC5	2	3	1	5	1	5
PIP5K1P1	0	2	0	0	0	0
EEF1E1	10	3	11	2	11	2
SCARNA27	0	14	2	0	4	0
SLC35B3	132	87	100	121	95	140
LOC100506207	0	0	0	0	0	0
TFAP2A-AS1	3	0	2	0	2	1
LINC00518	1	1	1	0	1	0
GCNT2	25	271	130	38	177	16
C6orf52	0	1	0	0	0	0
PAK1IP1	37	15	63	8	70	6
TMEM14C	86	50	114	36	120	31
TMEM14B	234	84	284	66	295	60
MAK	22	244	74	57	94	31
GCM2	0	0	0	0	0	1
SYCP2L	37	33	33	39	32	41
LOC101928191	0	2	1	0	2	0
ELOVL2	0	0	0	0	0	0
SMIM13	1	1	0	2	0	4
ERVFRD-1	16	7	5	27	4	46
NEDD9	1321	1927	1033	2588	986	2934
TMEM170B	222	156	183	197	176	218
HIVEP1	932	411	638	648	594	786
EDN1	0	3	0	1	0	1
PHACTR1	77	22	66	27	64	29
LOC100130357	9	13	12	9	12	8
TBC1D7	12	10	15	7	16	6
GFOD1	15	60	5	205	4	346
SIRT5	284	415	377	295	398	255
NOL7	50	18	27	36	24	49
RANBP9	326	242	514	140	561	111
MCUR1	179	146	130	215	122	254
RNF182	3	1	4	1	4	1
CD83	44	0	1	46	0	219
LINC01108	0	0	0	0	0	0
JARID2	450	303	271	557	246	722
JARID2-AS1	0	9	0	3	0	1
DTNBP1	406	554	378	604	373	626
MYLIP	1808	1022	1106	1842	1008	2365
MIR4639	3	2	5	0	6	0
GMPR	39	17	53	11	57	10
ATXN1	31	99	84	31	101	18
RBM24	6	20	1	97	1	189
CAP2	0	0	0	0	0	0
LOC101928491	0	1	0	0	0	0
FAM8A1	249	166	339	115	360	98
NUP153	638	367	528	461	509	507
KIF13A	95	935	126	667	133	578
NHLRC1	0	0	0	0	0	0
TPMT	1222	35	153	426	103	1229
KDM1B	204	64	235	54	242	50
DEK	1530	1478	1943	1110	2034	983
RNF144B	2495	262	552	1601	414	3451
MBOAT1	225	178	367	99	402	77
E2F3	106	86	53	198	46	282
CDKAL1	347	320	351	316	351	315
SOX4	1295	850	1339	817	1347	804
CASC15	0	3	1	1	1	1
NBAT1	0	0	0	0	0	0
PRL	0	0	0	0	0	0
DCDC2	1	1	1	0	1	0
MRS2	274	239	319	199	329	184
GPLD1	59	74	43	107	41	126
ALDH5A1	211	106	245	88	253	81
KIAA0319	0	0	0	0	0	0
TDP2	102	203	199	91	226	65
ACOT13	613	358	531	426	516	458
C6orf62	10861	10079	12974	8144	13422	7439
GMNN	49	9	50	9	50	9
C6orf229	51	23	10	155	7	346
FAM65B	4253	7351	4330	7193	4345	7128
CMAHP	13	45	40	11	49	6
LOC101928663	0	1	0	0	0	0
LRRC16A	291	69	113	214	95	346
SLC17A1	1	1	1	0	1	0
TRIM38	2442	4699	3356	3211	3565	2731
HIST1H1A	6	0	10	0	10	0
HIST1H3A	1216	42	263	268	197	585
HIST1H4A	12	3	4	11	3	18
HIST1H4B	11	0	1	3	0	9
HIST1H3B	200	0	23	3	15	12
HIST1H2AB	3	0	0	2	0	5
HIST1H2BB	36	20	23	34	22	42
HIST1H3C	109	0	51	2	44	4
HIST1H1C	339	21	186	45	166	61
HFE	0	0	0	1	0	2
HIST1H4C	1331	49	501	160	416	264
HIST1H1T	6	0	1	2	1	3
HIST1H2BC	1901	72	613	283	494	505
HIST1H2AC	1395	380	875	665	800	844
HIST1H1E	4674	184	1535	702	1241	1239
HIST1H2BD	14	35	24	18	26	14
HIST1H2BE	24	0	5	0	4	2
HIST1H4D	6	0	3	2	2	3
HIST1H3D	317	53	98	218	78	397
HIST1H2AD	8	1	3	4	2	7
HIST1H2BF	932	46	456	109	398	157
HIST1H4E	2386	130	1282	274	1139	376
HIST1H2BG	272	120	98	405	81	679
HIST1H2AE	2233	111	277	1361	186	3939
HIST1H3E	0	0	0	1	0	2
HIST1H1D	618	47	328	102	290	141
HIST1H4F	35	2	14	6	12	11
HIST1H3F	10	0	1	0	1	1
HIST1H2BH	349	3	133	13	110	21
HIST1H3G	31	0	25	1	25	1
HIST1H2BI	213	4	90	14	77	23
HIST1H4H	57	5	38	9	35	11
BTN3A2	315	361	438	242	467	204
BTN2A2	78	176	77	179	77	180
BTN3A1	934	1231	1068	1049	1095	980
BTN2A3P	2	0	0	0	0	1
BTN3A3	313	732	781	244	930	153
BTN2A1	730	1233	670	1367	659	1428
LOC285819	0	4	1	0	1	0
BTN1A1	1	1	1	0	1	0
HCG11	483	82	191	251	160	403
HMGN4	1066	468	747	718	698	860
ABT1	1210	562	941	760	897	864
ZNF322	5	1	1	6	0	12
GUSBP2	25	127	30	103	31	94
HIST1H2BJ	32	3	13	10	11	16
HIST1H2AG	13	0	5	3	4	6
HIST1H2BK	1508	449	1074	675	1006	803
HIST1H4I	22	4	26	3	26	3
HIST1H2AH	56	7	22	23	19	36
MIR3143	0	0	0	3	0	7
ZNF204P	0	0	0	0	0	0
ZNF391	98	58	30	238	24	433
ZNF184	121	140	154	105	162	92
LINC01012	7	1	1	7	1	14
LOC100131289	3	4	4	3	5	2
HIST1H2BL	9	0	2	1	2	2
HIST1H2AI	13	0	4	1	3	2
HIST1H3H	59	11	33	23	30	31
HIST1H2AJ	13	0	2	0	1	1
HIST1H2BM	9	0	4	0	4	0
HIST1H4J	1	0	0	0	0	0
HIST1H4K	1	0	0	1	0	1
HIST1H2AK	26	3	44	1	49	1
HIST1H2BN	114	8	63	17	56	23
HIST1H2AL	238	2	73	10	58	20
HIST1H1B	105	0	12	6	8	18
HIST1H3I	52	3	32	6	29	9
HIST1H4L	0	0	0	0	0	0
HIST1H3J	299	1	93	6	75	12
HIST1H2AM	112	39	89	52	85	59
HIST1H2BO	15	0	2	1	1	5
OR2B2	0	1	0	0	0	0
OR2B6	10	0	7	0	7	1
ZNF165	36	12	34	13	34	13
ZSCAN12P1	0	0	0	0	0	0
ZSCAN16-AS1	1	3	1	2	1	1
ZSCAN16	642	740	641	740	641	740
ZKSCAN8	92	133	181	59	206	41
ZNF192P1	0	0	0	0	0	0
TOB2P1	1	1	1	0	1	0
ZSCAN9	10	20	4	57	3	88
ZKSCAN4	27	35	38	23	40	19
NKAPL	1	0	0	0	0	0
ZSCAN26	19	13	23	10	24	9
PGBD1	4	5	4	5	4	5
ZSCAN31	29	16	24	20	23	23
ZKSCAN3	35	109	41	92	42	86
ZSCAN12	72	88	102	58	110	49
ZSCAN23	3	2	1	5	1	8
GABBR1	9	3	9	3	9	3
HLA-F	0	0	0	0	0	0
HLA-F-AS1	201	144	175	171	171	183
IFITM4P	0	0	0	0	0	0
HLA-H	22	23	20	26	20	27
HCG4B	0	0	0	0	0	0
HLA-A	456	212	309	339	287	413
HCG9	0	0	0	0	0	0
ZNRD1-AS1	0	0	0	0	0	0
HLA-J	0	0	0	0	0	0
HCG8	0	0	0	0	0	0
ZNRD1	0	0	0	0	0	0
PPP1R11	0	0	0	0	0	0
RNF39	0	1	0	0	0	0
HCG17	0	2	0	1	1	0
HLA-L	0	7	1	0	2	0
MIR6891	0	0	0	0	0	0
HCG18	294	617	375	462	392	409
TUBB	1	0	1	0	2	0
LINC00243	0	1	0	0	0	0
DDR1	0	0	0	0	0	0
GTF2H4	0	0	0	0	0	0
VARS2	1	0	0	0	0	0
CCHCR1	8	8	4	17	4	23
TCF19	8	0	3	1	2	3
POU5F1	3	1	1	3	1	5
HCG27	0	0	0	0	0	0
HLA-C	783	531	570	777	537	913
HLA-B	2016	1416	1379	2232	1283	2709
MICA	93	8	24	44	19	87
HCP5	1	1	1	1	1	2
HCG26	0	0	0	0	0	0
NFKBIL1	1	8	2	5	2	4
LST1	0	4	3	0	4	0
NCR3	0	0	0	0	0	0
AIF1	34	6	26	8	25	9
PRRC2A	14	3	13	4	13	4
BAG6	1	0	1	0	1	0
APOM	0	0	0	0	0	1
GPANK1	2	4	3	2	4	2
CSNK2B	3	5	3	4	3	4
C6orf25	0	0	0	0	0	1
VARS	1	1	1	1	1	1
HSPA1L	1	0	0	0	0	1
HSPA1B	2	13	5	5	6	3
C6orf48	0	0	0	0	0	0
CFB	0	0	0	0	0	0
ATF6B	5	4	3	7	3	9
FKBPL	0	0	0	0	0	1
LOC100507547	0	0	0	0	0	0
AGPAT1	2	0	1	1	1	1
RNF5P1	1	1	2	1	2	0
PBX2	1	0	1	0	1	0
NOTCH4	0	1	0	3	0	6
HLA-DRA	27	6	13	15	11	22
HLA-DRB5	0	0	0	0	0	0
HLA-DRB6	6	13	4	20	3	24
HLA-DRB1	150	55	100	90	93	110
HLA-DQA1	243	78	203	97	196	106
HLA-DQB1	54	30	31	58	28	76
HLA-DQA2	3	1	4	1	4	0
HLA-DQB2	0	0	0	0	0	0
HLA-DOB	0	1	0	0	0	0
TAP2	3	0	1	0	0	0
PSMB8	3	0	3	0	3	0
PSMB9	0	4	3	0	5	0
HLA-DMA	78	86	35	225	30	339
BRD2	60	81	56	89	55	92
HLA-DOA	1	0	2	0	3	0
HLA-DPB1	1151	318	1392	253	1443	229
RXRB	2	0	2	0	1	0
